t_sec,raw_read,view_mode,temp_current,set_temp,confidence
0.0,409,SET_VIEW,409,409,1.0
5.982,7,CURRENT_VIEW,7,409,0.44
11.214,7,CURRENT_VIEW,7,409,0.45
16.672,7,CURRENT_VIEW,7,409,0.65
21.759,7,CURRENT_VIEW,7,409,0.65
26.991,7,CURRENT_VIEW,7,409,0.65
32.455,7,CURRENT_VIEW,7,409,0.24
37.878,7,CURRENT_VIEW,7,409,0.24
43.35,7,CURRENT_VIEW,7,409,0.24
48.738,7,CURRENT_VIEW,7,409,0.35
54.098,7,CURRENT_VIEW,7,409,0.35
59.596,7,CURRENT_VIEW,7,409,0.35
65.102,7,CURRENT_VIEW,7,409,0.35
70.12,61349,CURRENT_VIEW,61349,409,0.9
75.307,7,CURRENT_VIEW,7,409,0.18
80.84,5,CURRENT_VIEW,5,409,0.01
86.36,5,CURRENT_VIEW,5,409,0.01
91.842,5,CURRENT_VIEW,5,409,0.01
97.302,5,CURRENT_VIEW,5,409,0.01
102.853,100,CURRENT_VIEW,100,409,0.7
108.42,100,CURRENT_VIEW,100,409,0.11
113.957,100,CURRENT_VIEW,100,409,0.4
119.589,100,CURRENT_VIEW,100,409,0.4
125.049,100,CURRENT_VIEW,100,409,0.86
130.516,400,CURRENT_VIEW,400,409,0.47
135.538,100,CURRENT_VIEW,100,409,0.96
140.932,100,CURRENT_VIEW,100,409,0.68
146.532,4,CURRENT_VIEW,4,409,0.56
155.145,1,CURRENT_VIEW,1,409,0.22
160.49,4,CURRENT_VIEW,4,409,0.85
165.934,7,CURRENT_VIEW,7,409,0.37
171.016,7,CURRENT_VIEW,7,409,0.37
176.035,7,CURRENT_VIEW,7,409,0.37
181.5,7,CURRENT_VIEW,7,409,0.37
186.524,7,CURRENT_VIEW,7,409,0.37
191.783,5,CURRENT_VIEW,5,409,0.13
